lending_rate,timestamp
5.8394,03.12.17 15:05
5.7973,03.12.17 14:05
5.7852,03.12.17 13:05
5.7927,03.12.17 12:05
5.775,03.12.17 11:05
5.7786,03.12.17 10:05
5.7897,03.12.17 09:05
5.7792,03.12.17 08:05
5.7801,03.12.17 07:05
5.7725,03.12.17 06:05
5.764,03.12.17 05:05
5.751,03.12.17 04:05
5.7473,03.12.17 03:05
5.7431,03.12.17 02:05
5.7342,03.12.17 01:05
5.7326,03.12.17 00:05
5.724,02.12.17 23:05
5.6808,02.12.17 22:05
5.6718,02.12.17 21:05
5.6586,02.12.17 20:05
5.6418,02.12.17 19:05
5.6347,02.12.17 18:05
5.6299,02.12.17 17:05
5.6309,02.12.17 16:05
5.6453,02.12.17 15:05
5.6154,02.12.17 14:05
5.6074,02.12.17 13:05
5.6078,02.12.17 12:05
5.5648,02.12.17 11:05
5.6262,02.12.17 10:05
5.6651,02.12.17 09:05
5.6963,02.12.17 08:05
5.6039,02.12.17 07:05
5.4508,02.12.17 06:05
5.472,02.12.17 05:05
5.3347,02.12.17 04:05
5.3301,02.12.17 03:05
5.3448,02.12.17 02:05
5.2455,02.12.17 01:05
5.3302,02.12.17 00:05
5.3542,01.12.17 23:05
5.1628,01.12.17 22:05
5.1346,01.12.17 21:05
5.2385,01.12.17 20:05
5.0959,01.12.17 19:05
5.191,01.12.17 18:05
4.9452,01.12.17 17:05
4.9329,01.12.17 16:05
4.7928,01.12.17 15:05
4.8446,01.12.17 14:05
4.7701,01.12.17 13:05
4.7987,01.12.17 12:05
4.7998,01.12.17 11:05
4.8114,01.12.17 10:05
4.8483,01.12.17 09:05
4.782,01.12.17 08:05
4.7695,01.12.17 07:05
4.7633,01.12.17 06:05
4.7674,01.12.17 05:05
4.7524,01.12.17 04:05
4.7532,01.12.17 03:05
4.7302,01.12.17 02:05
4.6828,01.12.17 01:05
4.6815,01.12.17 00:05
4.6494,30.11.17 23:05
4.6429,30.11.17 22:05
4.6145,30.11.17 21:05
4.6337,30.11.17 20:05
4.5517,30.11.17 19:05
4.5408,30.11.17 18:05
4.5308,30.11.17 17:05
4.5301,30.11.17 16:05
4.4555,30.11.17 15:05
4.391,30.11.17 14:05
4.4181,30.11.17 13:05
4.4016,30.11.17 12:05
4.3981,30.11.17 11:05
4.4875,30.11.17 10:05
4.5052,30.11.17 09:05
4.5653,30.11.17 08:05
4.4997,30.11.17 07:05
4.5726,30.11.17 06:05
4.5224,30.11.17 05:05
4.484,30.11.17 04:05
4.4921,30.11.17 03:05
4.4729,30.11.17 02:05
5.1296,30.11.17 01:05
5.1305,30.11.17 00:05
5.0842,29.11.17 23:05
5.0434,29.11.17 22:05
5.0542,29.11.17 21:05
4.9881,29.11.17 20:05
4.7056,29.11.17 19:05
4.6746,29.11.17 18:05
4.6538,29.11.17 17:05
4.5975,29.11.17 16:05
4.6439,29.11.17 15:05
4.6962,29.11.17 14:05
4.7684,29.11.17 13:05
4.9488,29.11.17 12:05
4.9453,29.11.17 11:05
4.9651,29.11.17 10:05
4.9833,29.11.17 09:05
5.0053,29.11.17 08:05
5.0125,29.11.17 07:05
4.9671,29.11.17 06:05
4.995,29.11.17 05:05
5.0464,29.11.17 04:05
5.0124,29.11.17 03:05
4.9259,29.11.17 02:05
5.1122,29.11.17 01:05
5.1191,29.11.17 00:05
5.1828,28.11.17 23:05
5.2618,28.11.17 22:05
5.1797,28.11.17 21:05
5.0372,28.11.17 20:05
5.0531,28.11.17 19:05
5.0581,28.11.17 18:05
5.0831,28.11.17 17:05
5.0897,28.11.17 16:05
4.9456,28.11.17 15:05
5.141,28.11.17 14:05
5.1068,28.11.17 13:05
5.0594,28.11.17 12:05
5.0624,28.11.17 11:05
5.041,28.11.17 10:05
5.2148,28.11.17 09:05
